[2465000] [Thread ID : 10340] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a72818a0cedfc30] [LocalNewNodeAddr : 0x6a72818a0cedfbd0] [RealNodeAddr : 0x6a72818a0cedfc30]
[2465001] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a70818a0cedfdb0] [LocalNewNodeAddr : 0x6a73018a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfdb0]
[2465002] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a73018a0cedf8d0] [LocalNewNodeAddr : 0x6a73818a0cedfb40] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465003] [Thread ID : 10340] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a73018a0cedf8d0] [LocalNewNodeAddr : 0x6a73818a0cedfb40] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465004] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a73818a0cedfb40] [LocalNewNodeAddr : 0x6a74018a0cedfc30] [RealNodeAddr : 0x0000018a0cedfb40]
[2465005] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a73818a0cedfb40] [LocalNewNodeAddr : 0x6a74018a0cedfc30] [RealNodeAddr : 0x0000018a0cedfb40]
[2465006] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a74018a0cedfc30] [LocalNewNodeAddr : 0x6a74818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedfc30]
[2465007] [Thread ID : 10340] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a74018a0cedfc30] [LocalNewNodeAddr : 0x6a74818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedfc30]
[2465008] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a72818a0cedfbd0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465009] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a72818a0cedfbd0] [LocalNewNodeAddr : 0x6a75018a0cedfb40] [RealNodeAddr : 0x0000000000000000]
[2465010] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a72818a0cedfbd0] [LocalNewNodeAddr : 0x6a75018a0cedfb40] [RealNodeAddr : 0x6a72818a0cedfbd0]
